key,description,type,unit,min_value,max_value,effective_resolution,repeatable,status,owner,introduced_in,deprecated_in,example_value,notes
xMean,The mean of x axis acceleration of an epoch/event.,number,g,,,,no,active,ActivInsights,2025-11,,0.012,
xSD,The standard deviation of x axis acceleration of an epoch/event.,number,g,,,,no,active,ActivInsights,2025-11,,0.045,
yMean,The mean of y axis acceleration of an epoch/event.,number,g,,,,no,active,ActivInsights,2025-11,,0.008,
ySD,The standard deviation of y axis acceleration of an epoch/event.,number,g,,,,no,active,ActivInsights,2025-11,,0.036,
zMean,The mean of z axis acceleration of an epoch/event.,number,g,,,,no,active,ActivInsights,2025-11,,0.015,
zSD,The standard deviation of z axis acceleration of an epoch/event.,number,g,,,,no,active,ActivInsights,2025-11,,0.041,
LightMean,The mean light exposure of an epoch/event.,number,lx,,,,no,active,ActivInsights,2025-11,,125,
LightMax,The maximum light exposure of an epoch/event.,number,lx,,,,no,active,ActivInsights,2025-11,,980,
TempMean,The mean near-body temperature of an epoch/event.,number,°C,,,,no,active,ActivInsights,2025-11,,33.4,
TempSD,The standard deviation of near-body temperature of an epoch/event.,number,°C,,,,no,active,ActivInsights,2025-11,,0.6,
AGSAMean,The mean Absolute Gravity-Subtracted Acceleration of an epoch/event.,number,g,,,,no,active,ActivInsights,2025-11,,0.068,
ENMOMean,The mean Euclidean Norm Minus One of an epoch/event.,number,g,,,,no,active,ActivInsights,2025-11,,0.027,
UpDownMean,The mean lower arm elevation of an epoch/event.,number,degrees,,,,no,active,ActivInsights,2025-11,,4.2,
UpDownSD,The standard deviation of lower arm elevation of an epoch/event.,number,degrees,,,,no,active,ActivInsights,2025-11,,1.1,
DegreesMean,The mean wrist rotational angle of an epoch/event.,number,degrees,,,,no,active,ActivInsights,2025-11,,182,
DegreesSD,The standard deviation of the wrist rotational angle of an epoch/event.,number,degrees,,,,no,active,ActivInsights,2025-11,,12.5,
DayNumber,The day number of the recording starting at a defined Start Hour (default 15.00).,number,count,,,,no,active,ActivInsights,2025-11,,5,
StepCount,The number of steps in an epoch/event.,number,steps,,,,no,active,ActivInsights,2025-11,,64,
StepMean,The mean stepping rate (cadence) of an epoch/event.,number,steps per minute,,,,no,active,ActivInsights,2025-11,,86,
StepSD,The standard deviation of stepping rate (cadence) of an epoch/event.,number,steps per minute,,,,no,active,ActivInsights,2025-11,,12,
StepsDiff,The mean of the absolute difference between successive step intervals.,number,s,,,,no,active,ActivInsights,2025-11,,3,
MET,The steady-state metaboic equivalent associated with the epoch/event.,number,METs,,,,no,active,ActivInsights,2025-11,,3.25,
PostureChanges,,number,count,,,,no,active,ActivInsights,2025-11,,2,
