"Cluster","Name","Class","SubClass","Element","code_raw","coel_code","iri"
1,"Personalcare",0,0,0,"1.0.0.0","1","http://w3id.org/coel/model/coel/2.0#1"
1,"Body",1,0,0,"1.1.0.0","1.1","http://w3id.org/coel/model/coel/2.0#1.1"
1,"Having a shower",1,1,0,"1.1.1.0","1.1.1","http://w3id.org/coel/model/coel/2.0#1.1.1"
1,"Turn on shower",1,1,1,"1.1.1.1","1.1.1.1","http://w3id.org/coel/model/coel/2.0#1.1.1.1"
1,"Test temperature",1,1,2,"1.1.1.2","1.1.1.2","http://w3id.org/coel/model/coel/2.0#1.1.1.2"
1,"Get wet",1,1,3,"1.1.1.3","1.1.1.3","http://w3id.org/coel/model/coel/2.0#1.1.1.3"
1,"Apply product",1,1,4,"1.1.1.4","1.1.1.4","http://w3id.org/coel/model/coel/2.0#1.1.1.4"
1,"Rinse",1,1,5,"1.1.1.5","1.1.1.5","http://w3id.org/coel/model/coel/2.0#1.1.1.5"
1,"Turn off shower",1,1,6,"1.1.1.6","1.1.1.6","http://w3id.org/coel/model/coel/2.0#1.1.1.6"
1,"Having a bath",1,2,0,"1.1.2.0","1.1.2","http://w3id.org/coel/model/coel/2.0#1.1.2"
1,"Run bath",1,2,1,"1.1.2.1","1.1.2.1","http://w3id.org/coel/model/coel/2.0#1.1.2.1"
1,"Add product",1,2,2,"1.1.2.2","1.1.2.2","http://w3id.org/coel/model/coel/2.0#1.1.2.2"
1,"Test temperature",1,2,3,"1.1.2.3","1.1.2.3","http://w3id.org/coel/model/coel/2.0#1.1.2.3"
1,"Scrub body",1,2,4,"1.1.2.4","1.1.2.4","http://w3id.org/coel/model/coel/2.0#1.1.2.4"
1,"Soak in bath",1,2,5,"1.1.2.5","1.1.2.5","http://w3id.org/coel/model/coel/2.0#1.1.2.5"
1,"Get out of bath",1,2,6,"1.1.2.6","1.1.2.6","http://w3id.org/coel/model/coel/2.0#1.1.2.6"
1,"Remove bath plug",1,2,7,"1.1.2.7","1.1.2.7","http://w3id.org/coel/model/coel/2.0#1.1.2.7"
1,"Rinse bath",1,2,8,"1.1.2.8","1.1.2.8","http://w3id.org/coel/model/coel/2.0#1.1.2.8"
1,"Rinse bath",1,2,9,"1.1.2.9","1.1.2.9","http://w3id.org/coel/model/coel/2.0#1.1.2.9"
1,"Drying your body",1,3,0,"1.1.3.0","1.1.3","http://w3id.org/coel/model/coel/2.0#1.1.3"
1,"Body",1,3,1,"1.1.3.1","1.1.3.1","http://w3id.org/coel/model/coel/2.0#1.1.3.1"
1,"Hands",1,3,2,"1.1.3.2","1.1.3.2","http://w3id.org/coel/model/coel/2.0#1.1.3.2"
1,"Arms",1,3,3,"1.1.3.3","1.1.3.3","http://w3id.org/coel/model/coel/2.0#1.1.3.3"
1,"Legs",1,3,4,"1.1.3.4","1.1.3.4","http://w3id.org/coel/model/coel/2.0#1.1.3.4"
1,"Genitalia",1,3,5,"1.1.3.5","1.1.3.5","http://w3id.org/coel/model/coel/2.0#1.1.3.5"
1,"Ears",1,3,6,"1.1.3.6","1.1.3.6","http://w3id.org/coel/model/coel/2.0#1.1.3.6"
1,"Your body skin care routine",1,4,0,"1.1.4.0","1.1.4","http://w3id.org/coel/model/coel/2.0#1.1.4"
1,"Apply moisturiser",1,4,1,"1.1.4.1","1.1.4.1","http://w3id.org/coel/model/coel/2.0#1.1.4.1"
1,"Exfoliate",1,4,2,"1.1.4.2","1.1.4.2","http://w3id.org/coel/model/coel/2.0#1.1.4.2"
1,"Body hair removal",1,5,0,"1.1.5.0","1.1.5","http://w3id.org/coel/model/coel/2.0#1.1.5"
1,"Legs",1,5,1,"1.1.5.1","1.1.5.1","http://w3id.org/coel/model/coel/2.0#1.1.5.1"
1,"Underarms",1,5,2,"1.1.5.2","1.1.5.2","http://w3id.org/coel/model/coel/2.0#1.1.5.2"
1,"Bikini line",1,5,3,"1.1.5.3","1.1.5.3","http://w3id.org/coel/model/coel/2.0#1.1.5.3"
1,"Chest",1,5,4,"1.1.5.4","1.1.5.4","http://w3id.org/coel/model/coel/2.0#1.1.5.4"
1,"Back",1,5,5,"1.1.5.5","1.1.5.5","http://w3id.org/coel/model/coel/2.0#1.1.5.5"
1,"Applying deodorant or antiperspirant",1,6,0,"1.1.6.0","1.1.6","http://w3id.org/coel/model/coel/2.0#1.1.6"
1,"Put on deodorant",1,6,1,"1.1.6.1","1.1.6.1","http://w3id.org/coel/model/coel/2.0#1.1.6.1"
1,"Put on antiperspirant",1,6,2,"1.1.6.2","1.1.6.2","http://w3id.org/coel/model/coel/2.0#1.1.6.2"
1,"Appling fragrance",1,7,0,"1.1.7.0","1.1.7","http://w3id.org/coel/model/coel/2.0#1.1.7"
1,"Put on perfume",1,7,1,"1.1.7.1","1.1.7.1","http://w3id.org/coel/model/coel/2.0#1.1.7.1"
1,"Put on body spray",1,7,2,"1.1.7.2","1.1.7.2","http://w3id.org/coel/model/coel/2.0#1.1.7.2"
1,"Face",2,0,0,"1.2.0.0","1.2","http://w3id.org/coel/model/coel/2.0#1.2"
1,"Washing and wiping your face",2,1,0,"1.2.1.0","1.2.1","http://w3id.org/coel/model/coel/2.0#1.2.1"
1,"Wash",2,1,1,"1.2.1.1","1.2.1.1","http://w3id.org/coel/model/coel/2.0#1.2.1.1"
1,"Wipe",2,1,2,"1.2.1.2","1.2.1.2","http://w3id.org/coel/model/coel/2.0#1.2.1.2"
1,"Cleansing and toning your face",2,2,0,"1.2.2.0","1.2.2","http://w3id.org/coel/model/coel/2.0#1.2.2"
1,"Cleanse",2,2,1,"1.2.2.1","1.2.2.1","http://w3id.org/coel/model/coel/2.0#1.2.2.1"
1,"Tone",2,2,2,"1.2.2.2","1.2.2.2","http://w3id.org/coel/model/coel/2.0#1.2.2.2"
1,"Shaving",2,3,0,"1.2.3.0","1.2.3","http://w3id.org/coel/model/coel/2.0#1.2.3"
1,"Apply shaving foam",2,3,1,"1.2.3.1","1.2.3.1","http://w3id.org/coel/model/coel/2.0#1.2.3.1"
1,"Rinse shaving foam",2,3,2,"1.2.3.2","1.2.3.2","http://w3id.org/coel/model/coel/2.0#1.2.3.2"
1,"Wet shave",2,3,3,"1.2.3.3","1.2.3.3","http://w3id.org/coel/model/coel/2.0#1.2.3.3"
1,"Use electric razor",2,3,4,"1.2.3.4","1.2.3.4","http://w3id.org/coel/model/coel/2.0#1.2.3.4"
1,"Clean razor",2,3,5,"1.2.3.5","1.2.3.5","http://w3id.org/coel/model/coel/2.0#1.2.3.5"
