"ParticipantID","prev_id","next_id","gap","threshold"
"!Y&r%j.@zjnvw/WQ#)P6","111705_1749224532_1_4032059#1749444905#58278#Wake","111705_1749224532_1_4032059#1749533660#55484#Wake",30477,1800
"!Y&r%j.@zjnvw/WQ#)P6","111705_1749224532_1_4032059#1749680063#29976#Rest","111705_1749224532_1_4032059#1749797568#54561#Wake",87529,1800
"!Y&r%j.@zjnvw/WQ#)P6","111705_1749224532_1_4032059#1749852129#26877#Rest","111705_1749224532_1_4032059#1749940382#25932#Rest",61376,1800
"%fHq]2=3ACnvF(XQ#)P6","111854_1750412601_1_4032059#1751010312#73378#Wake","111854_1750412601_1_4032059#1751166640#7069#Rest",82950,1800
"]%@v55o:ae!l01jSGV.(","111853_1749724462_1_4032059#1749767569#34041#Rest","111853_1749724462_1_4032059#1749832850#7472#Rest",31240,1800
"]%@v55o:ae!l01jSGV.(","111853_1749724462_1_4032059#1750358101#4711#Wake","111853_1749724462_1_4032059#1750438347#3180#Wake",75535,1800
"]%@v55o:ae!l01jSGV.(","111853_1749724462_1_4032059#1750443707#11064#Wake","111853_1749724462_1_4032059#1750603224#234#Wake",148453,1800
"}[-t$EFb&)nvn-VQ#)P6","111710_1749218067_1_4032059#1749420883#27062#Rest","111710_1749218067_1_4032059#1749510984#25965#Rest",63039,1800
"}[-t$EFb&)nvn-VQ#)P6","111710_1749218067_1_4032059#1749770927#23889#Rest","111710_1749218067_1_4032059#1749855848#31582#Rest",61032,1800
"06%rhGJ?[OkUqsrLj2:@","111707_1749218555_1_4032059#1749886341#48854#Wake","111707_1749218555_1_4032059#1749968081#60880#Wake",32886,1800
"06%rhGJ?[OkUqsrLj2:@","111707_1749218555_1_4032059#1750113243#27040#Rest","111707_1749218555_1_4032059#1750197641#29194#Rest",57358,1800
"06%rhGJ?[OkUqsrLj2:@","111707_1749218555_1_4032059#1750197641#29194#Rest","111707_1749218555_1_4032059#1750286527#29158#Rest",59692,1800
"c}K+=)Ds*EkUzysLj2:@","111708_1749217464_1_4032059#1749408710#37630#Rest","111708_1749217464_1_4032059#1749504448#24461#Rest",58108,1800
"c}K+=)Ds*EkUzysLj2:@","111708_1749217464_1_4032059#1749701714#63065#Wake","111708_1749217464_1_4032059#1749790677#60658#Wake",25898,1800
"c}K+=)Ds*EkUzysLj2:@","111708_1749217464_1_4032059#1750197262#24658#Rest","111708_1749217464_1_4032059#1750282746#13251#Rest",60826,1800
"HD=?jRf2)bnv5PTQ#)P6","111706_1749476168_1_4032059#1749676394#25750#Rest","111706_1749476168_1_4032059#1749878901#52828#Wake",176757,1800
"HD=?jRf2)bnv5PTQ#)P6","111706_1749476168_1_4032059#1749878901#52828#Wake","111706_1749476168_1_4032059#1749963759#56984#Wake",32030,1800
"HD=?jRf2)bnv5PTQ#)P6","111706_1749476168_1_4032059#1750020743#26751#Rest","111706_1749476168_1_4032059#1750134627#60332#Wake",87133,1800
"k(dmkS(sS$!l97kSGV.(","110864_1749729228_1_4032059#1750126069#26003#Rest","110864_1749729228_1_4032059#1750217883#28914#Rest",65811,1800
"k(dmkS(sS$!l97kSGV.(","110864_1749729228_1_4032059#1750300417#10855#Rest","110864_1749729228_1_4032059#1750369171#31634#Rest",57899,1800
"k(dmkS(sS$!l97kSGV.(","110864_1749729228_1_4032059#1750658038#56614#Wake","110864_1749729228_1_4032059#1750742743#58020#Wake",28091,1800
