"index","AtomID","start_utc","end_utc","duration_sec","label","exceeds_left","exceeds_right"
89575,"111853_1749724462_1_4032059#1749720877#72#Active",1749720877,1749720949,72,"Active",FALSE,FALSE
89576,"111853_1749724462_1_4032059#1749720949#18#Sedentary",1749720949,1749720967,18,"Sedentary",FALSE,FALSE
89577,"111853_1749724462_1_4032059#1749720967#54#Active",1749720967,1749721021,54,"Active",FALSE,FALSE
89578,"111853_1749724462_1_4032059#1749721021#27#Sedentary",1749721021,1749721048,27,"Sedentary",FALSE,FALSE
89579,"111853_1749724462_1_4032059#1749721048#32#Sedentary",1749721048,1749721080,32,"Sedentary",FALSE,FALSE
89580,"111853_1749724462_1_4032059#1749721080#9#Sedentary",1749721080,1749721089,9,"Sedentary",FALSE,FALSE
89581,"111853_1749724462_1_4032059#1749721089#47#Sedentary",1749721089,1749721136,47,"Sedentary",FALSE,FALSE
89582,"111853_1749724462_1_4032059#1749721136#19#Sedentary",1749721136,1749721155,19,"Sedentary",FALSE,FALSE
89583,"111853_1749724462_1_4032059#1749721155#30#Sedentary",1749721155,1749721185,30,"Sedentary",FALSE,FALSE
89584,"111853_1749724462_1_4032059#1749721185#18#Sedentary",1749721185,1749721203,18,"Sedentary",FALSE,FALSE
89585,"111853_1749724462_1_4032059#1749721203#75#Sedentary",1749721203,1749721278,75,"Sedentary",FALSE,FALSE
89586,"111853_1749724462_1_4032059#1749721278#33#Sedentary",1749721278,1749721311,33,"Sedentary",FALSE,FALSE
89587,"111853_1749724462_1_4032059#1749721311#37#Sedentary",1749721311,1749721348,37,"Sedentary",FALSE,FALSE
89588,"111853_1749724462_1_4032059#1749721348#28#Sedentary",1749721348,1749721376,28,"Sedentary",FALSE,FALSE
89589,"111853_1749724462_1_4032059#1749721376#86#Sedentary",1749721376,1749721462,86,"Sedentary",FALSE,FALSE
89590,"111853_1749724462_1_4032059#1749721462#37#Sedentary",1749721462,1749721499,37,"Sedentary",FALSE,FALSE
89591,"111853_1749724462_1_4032059#1749721499#70#Sedentary",1749721499,1749721569,70,"Sedentary",FALSE,FALSE
89592,"111853_1749724462_1_4032059#1749721569#152#Active",1749721569,1749721721,152,"Active",FALSE,FALSE
89593,"111853_1749724462_1_4032059#1749721721#49#Active",1749721721,1749721770,49,"Active",FALSE,FALSE
89594,"111853_1749724462_1_4032059#1749721770#63#SlowWalk",1749721770,1749721833,63,"SlowWalk",FALSE,FALSE
89595,"111853_1749724462_1_4032059#1749721833#23#Active",1749721833,1749721856,23,"Active",FALSE,FALSE
89596,"111853_1749724462_1_4032059#1749721856#16#SlowWalk",1749721856,1749721872,16,"SlowWalk",FALSE,FALSE
89597,"111853_1749724462_1_4032059#1749721872#141#SlowWalk",1749721872,1749722013,141,"SlowWalk",FALSE,FALSE
89598,"111853_1749724462_1_4032059#1749722013#31#Sedentary",1749722013,1749722044,31,"Sedentary",FALSE,FALSE
89599,"111853_1749724462_1_4032059#1749722044#16#Sedentary",1749722044,1749722060,16,"Sedentary",FALSE,FALSE
89600,"111853_1749724462_1_4032059#1749722060#10#Sedentary",1749722060,1749722070,10,"Sedentary",FALSE,FALSE
89601,"111853_1749724462_1_4032059#1749722070#41#Active",1749722070,1749722111,41,"Active",FALSE,FALSE
89602,"111853_1749724462_1_4032059#1749722111#47#Sedentary",1749722111,1749722158,47,"Sedentary",FALSE,FALSE
89603,"111853_1749724462_1_4032059#1749722158#16#Active",1749722158,1749722174,16,"Active",FALSE,FALSE
89604,"111853_1749724462_1_4032059#1749722174#31#Sedentary",1749722174,1749722205,31,"Sedentary",FALSE,FALSE
89605,"111853_1749724462_1_4032059#1749722205#45#Sedentary",1749722205,1749722250,45,"Sedentary",FALSE,FALSE
89606,"111853_1749724462_1_4032059#1749722250#33#Sedentary",1749722250,1749722283,33,"Sedentary",FALSE,FALSE
89607,"111853_1749724462_1_4032059#1749722283#32#Sedentary",1749722283,1749722315,32,"Sedentary",FALSE,FALSE
89608,"111853_1749724462_1_4032059#1749722315#25#Sedentary",1749722315,1749722340,25,"Sedentary",FALSE,FALSE
89609,"111853_1749724462_1_4032059#1749722340#27#Sedentary",1749722340,1749722367,27,"Sedentary",FALSE,FALSE
89610,"111853_1749724462_1_4032059#1749722367#6#Sedentary",1749722367,1749722373,6,"Sedentary",FALSE,FALSE
89611,"111853_1749724462_1_4032059#1749722373#29#Sedentary",1749722373,1749722402,29,"Sedentary",FALSE,FALSE
89612,"111853_1749724462_1_4032059#1749722402#28#Sedentary",1749722402,1749722430,28,"Sedentary",FALSE,FALSE
89613,"111853_1749724462_1_4032059#1749722430#11#Sedentary",1749722430,1749722441,11,"Sedentary",FALSE,FALSE
89614,"111853_1749724462_1_4032059#1749722441#10#Sedentary",1749722441,1749722451,10,"Sedentary",FALSE,FALSE
89615,"111853_1749724462_1_4032059#1749722451#14#Sedentary",1749722451,1749722465,14,"Sedentary",FALSE,FALSE
89616,"111853_1749724462_1_4032059#1749722465#26#Sedentary",1749722465,1749722491,26,"Sedentary",FALSE,FALSE
89617,"111853_1749724462_1_4032059#1749722491#15#Sedentary",1749722491,1749722506,15,"Sedentary",FALSE,FALSE
89618,"111853_1749724462_1_4032059#1749722506#34#Sedentary",1749722506,1749722540,34,"Sedentary",FALSE,FALSE
89619,"111853_1749724462_1_4032059#1749722540#43#Sedentary",1749722540,1749722583,43,"Sedentary",FALSE,FALSE
89620,"111853_1749724462_1_4032059#1749722583#95#Sedentary",1749722583,1749722678,95,"Sedentary",FALSE,FALSE
89621,"111853_1749724462_1_4032059#1749722678#40#Sedentary",1749722678,1749722718,40,"Sedentary",FALSE,FALSE
89622,"111853_1749724462_1_4032059#1749722718#44#Sedentary",1749722718,1749722762,44,"Sedentary",FALSE,FALSE
89623,"111853_1749724462_1_4032059#1749722762#8#Sedentary",1749722762,1749722770,8,"Sedentary",FALSE,FALSE
89624,"111853_1749724462_1_4032059#1749722770#15#Sedentary",1749722770,1749722785,15,"Sedentary",FALSE,FALSE
89625,"111853_1749724462_1_4032059#1749722785#14#Sedentary",1749722785,1749722799,14,"Sedentary",FALSE,FALSE
89626,"111853_1749724462_1_4032059#1749722799#78#Sedentary",1749722799,1749722877,78,"Sedentary",FALSE,FALSE
89627,"111853_1749724462_1_4032059#1749722877#126#Sedentary",1749722877,1749723003,126,"Sedentary",FALSE,FALSE
89628,"111853_1749724462_1_4032059#1749723003#9#Sedentary",1749723003,1749723012,9,"Sedentary",FALSE,FALSE
89629,"111853_1749724462_1_4032059#1749723012#19#Sedentary",1749723012,1749723031,19,"Sedentary",FALSE,FALSE
89630,"111853_1749724462_1_4032059#1749723031#11#Sedentary",1749723031,1749723042,11,"Sedentary",FALSE,FALSE
89631,"111853_1749724462_1_4032059#1749723042#60#Sedentary",1749723042,1749723102,60,"Sedentary",FALSE,FALSE
